stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type
070053,070053,ΑΙΓΑΛΕΩ,Επί της ΘΗΒΩΝ,37.991342167,23.677248841,0
070054,070054,ΜΑΚΡΗΣ,Επί της ΘΗΒΩΝ,37.988101176,23.675292928,0
070055,070055,ΓΕΦΥΡΑΚΙ,Επί της ΘΗΒΩΝ,37.985510079,23.673698705,0
070056,070056,ΘΕΟΧΑΡΑΚΗ,Επί της ΘΗΒΩΝ,37.981817786,23.671528759,0
070057,070057,ΛΑΔΟΠΟΥΛΟΥ,Επί της ΘΗΒΩΝ,37.979605842,23.670172224,0
070058,070058,1η ΚΟΡΥΔΑΛΛΟΥ,Επί της ΛΕΩΦ.ΜΕΓ.ΑΛΕΞΑΝΔΡΟΥ,37.993092715,23.674724269,0
070059,070059,ΛΕΛΑΣ ΚΑΡΑΓΙΑΝΝΗ,Επί της ΛΕΩΦ.ΜΕΓ.ΑΛΕΞΑΝΔΡΟΥ,37.992229233,23.672108712,0
070060,070060,3η ΚΟΡΥΔΑΛΛΟΥ,Επί της ΛΕΩΦ.ΜΕΓ.ΑΛΕΞΑΝΔΡΟΥ,37.991383303,23.669345088,0
070061,070061,4η ΚΟΡΥΔΑΛΛΟΥ,Επί της ΛΕΩΦ.ΜΕΓ.ΑΛΕΞΑΝΔΡΟΥ,37.990674531,23.667298371,0
070062,070062,4η ΚΟΡΥΔΑΛΛΟΥ,Επί της ΛΕΩΦ.ΜΕΓ.ΑΛΕΞΑΝΔΡΟΥ,37.990258979,23.666958599,0
070063,070063,3η ΚΟΡΥΔΑΛΛΟΥ,Επί της ΛΕΩΦ.ΜΕΓ.ΑΛΕΞΑΝΔΡΟΥ,37.991303948,23.669971807,0
070064,070064,ΛΕΛΑΣ ΚΑΡΑΓΙΑΝΝΗ,Επί της ΛΕΩΦ.ΜΕΓ.ΑΛΕΞΑΝΔΡΟΥ,37.992104039,23.672462314,0
070065,070065,1η ΚΟΡΥΔΑΛΛΟΥ,Επί της ΛΕΩΦ.ΜΕΓ.ΑΛΕΞΑΝΔΡΟΥ,37.992967450,23.675055094,0
070066,070066,ΠΛ.ΔΑΒΑΚΗ,Επί της ΕΒΡΟΥ,37.995698145,23.671740208,0
070067,070067,ΑΡΙΣΤΕΙΔΟΥ,Επί της ΕΒΡΟΥ,37.997332365,23.672780745,0
070068,070068,ΠΑΡΝΑΣΣΟΥ,Επί της ΕΒΡΟΥ,37.999219280,23.673945495,0
070069,070069,ΑΓ.ΤΡΙΑΔΑ,Επί της ΠΙΝΔΟΥ,38.000838214,23.672730999,0
070070,070070,ΠΑΙΔΙΚΗ ΧΑΡΑ,Επί της ΠΟΛΥΔΕΥΚΟΥΣ,38.002172670,23.669706691,0
070071,070071,ΠΑΙΔΙΚΗ ΧΑΡΑ,Επί της ΠΟΛΥΔΕΥΚΟΥΣ,38.001858216,23.670061193,0
070072,070072,ΟΑΕΔ,Επί της ΔΑΡΔΑΝΕΛΛΙΩΝ,37.995510876,23.678995882,0
070073,070073,2η ΚΟΡΥΤΣΑΣ,Επί της ΚΟΡΥΤΣΑΣ,37.998871445,23.672022194,0
070074,070074,1η ΚΟΡΥΤΣΑΣ,Επί της ΚΟΡΥΤΣΑΣ,37.996785722,23.670676159,0
070075,070075,ΜΠΟΤΣΑΡΗ,Επί της ΑΛ.ΠΑΠΑΝΑΣΤΑΣΙΟΥ,37.990164436,23.681638476,0
070076,070076,ΑΛΑΤΣΑΤΩΝ,Επί της ΑΛ.ΠΑΠΑΝΑΣΤΑΣΙΟΥ,37.988098391,23.680861637,0
070077,070077,ΚΟΡΑΗ,Επί της ΑΛ.ΠΑΠΑΝΑΣΤΑΣΙΟΥ,37.985905883,23.679982901,0
070078,070078,1η ΠΟΛΥΚΑΤΟΙΚΙΩΝ,Επί της ΑΛ.ΠΑΠΑΝΑΣΤΑΣΙΟΥ,37.984497600,23.679146352,0
070079,070079,2η ΠΟΛΥΚΑΤΟΙΚΙΩΝ,Επί της ΒΟΡ.ΗΠΕΙΡΟΥ,37.984740244,23.675603811,0
070080,070080,ΚΟΥΝΤΟΥΡΙΩΤΟΥ,Επί της ΠΡΟΥΣΣΗΣ,37.994995169,23.688314328,0
070081,070081,ΣΤ.ΕΛΑΙΩΝΑΣ,Επί της ΙΕΡΑΣ ΟΔΟΥ(ΑΓΝ.ΠΛΑΤΕΙΑ),37.987834201,23.693355296,0
070082,070082,ΑΜΣΤΕΛ,Επί της ΛΕΩΦ.ΚΗΦΙΣΟΥ,37.978919613,23.679500846,0
070083,070083,ΣΜΥΡΝΗΣ,Επί της ΔΗΜΑΡΧΕΙΟΥ,37.991950927,23.682359622,0
